Name,mtd_interval,MEF,ASR,time_to_compromise,host_compromise_ratio,network_size
NoMTD,100,0,0.4166666666666667,699.5304614443381,0.1,25
NoMTD,100,0,0.5555555555555556,1243.976587645077,0.2,25
NoMTD,100,0,0.6818181818181818,1533.2432640203992,0.3,25
NoMTD,100,0,0.7142857142857143,1823.8771309171725,0.4,25
NoMTD,100,0,0.7352941176470589,1998.4578611385678,0.5,25
NoMTD,100,0,0.7142857142857143,2413.3085286327046,0.6,25
NoMTD,100,0,0.7291666666666666,2822.3389751242216,0.7,25
NoMTD,100,0,0.7407407407407407,3065.4467178232067,0.8,25
NoMTD,100,0,0.5555555555555556,1081.5340933467257,0.1,50
NoMTD,100,0,0.6666666666666666,1826.0797968505544,0.2,50
NoMTD,100,0,0.75,2386.918009147624,0.3,50
NoMTD,100,0,0.8,2793.3496738176123,0.4,50
NoMTD,100,0,0.8333333333333334,3227.6878036348744,0.5,50
NoMTD,100,0,0.8571428571428571,3725.338083918129,0.6,50
NoMTD,100,0,0.875,4020.72320688373,0.7,50
NoMTD,100,0,0.8888888888888888,4408.910566994689,0.8,50
NoMTD,100,0,0.75,1447.9537660920982,0.1,75
NoMTD,100,0,0.7894736842105263,2908.6933401151373,0.2,75
NoMTD,100,0,0.8333333333333334,3480.4200839000846,0.3,75
NoMTD,100,0,0.8333333333333334,4075.949145614738,0.4,75
NoMTD,100,0,0.872093023255814,4656.337114698679,0.5,75
NoMTD,100,0,0.8823529411764706,4880.256998593705,0.6,75
NoMTD,100,0,0.860655737704918,5396.035931364211,0.7,75
NoMTD,100,0,0.8695652173913043,5665.745652763998,0.8,75
NoMTD,100,0,0.9090909090909091,2070.6839592716055,0.1,100
NoMTD,100,0,0.9090909090909091,2920.5907204971686,0.2,100
NoMTD,100,0,0.9090909090909091,4109.169941942998,0.3,100
NoMTD,100,0,0.851063829787234,5150.954518898939,0.4,100
NoMTD,100,0,0.8620689655172413,5745.451460804782,0.5,100
NoMTD,100,0,0.8571428571428571,6138.9364543189,0.6,100
NoMTD,100,0,0.8333333333333334,6858.544456034212,0.7,100
NoMTD,100,0,0.851063829787234,7673.948031057511,0.8,100
NoMTD,200,0,0.4166666666666667,676.8562838392943,0.1,25
NoMTD,200,0,0.5555555555555556,1343.9966853735928,0.2,25
NoMTD,200,0,0.6818181818181818,1473.5457327237154,0.3,25
NoMTD,200,0,0.7142857142857143,1810.927100947409,0.4,25
NoMTD,200,0,0.78125,2112.3917847970606,0.5,25
NoMTD,200,0,0.75,2552.716152190484,0.6,25
NoMTD,200,0,0.7954545454545454,2746.7084146250845,0.7,25
NoMTD,200,0,0.8,2960.3834401585027,0.8,25
NoMTD,200,0,0.625,1230.2240375683318,0.1,50
NoMTD,200,0,0.7692307692307693,1756.4393912052153,0.2,50
NoMTD,200,0,0.8333333333333334,2399.3634161231785,0.3,50
NoMTD,200,0,0.8695652173913043,2753.706772868464,0.4,50
NoMTD,200,0,0.8928571428571429,3134.562336617073,0.5,50
NoMTD,200,0,0.9090909090909091,3511.8820238623,0.6,50
NoMTD,200,0,0.9210526315789473,4257.040706496203,0.7,50
NoMTD,200,0,0.9302325581395349,4653.002751449118,0.8,50
NoMTD,200,0,0.8333333333333334,1414.6686618426972,0.1,75
NoMTD,200,0,0.7894736842105263,2418.2022514999812,0.2,75
NoMTD,200,0,0.8333333333333334,3428.1069421677985,0.3,75
NoMTD,200,0,0.8571428571428571,4096.860431667419,0.4,75
NoMTD,200,0,0.872093023255814,4636.601460159952,0.5,75
NoMTD,200,0,0.8823529411764706,4906.213536585437,0.6,75
NoMTD,200,0,0.8898305084745762,5351.242332246519,0.7,75
NoMTD,200,0,0.8955223880597015,5792.568715244553,0.8,75
NoMTD,200,0,0.8333333333333334,2462.840640465005,0.1,100
NoMTD,200,0,0.9090909090909091,3404.169055815402,0.2,100
NoMTD,200,0,0.9090909090909091,4375.086511228036,0.3,100
NoMTD,200,0,0.9090909090909091,4838.22048751192,0.4,100
NoMTD,200,0,0.8333333333333334,5552.461087062564,0.5,100
NoMTD,200,0,0.8450704225352113,6282.730708156,0.6,100
NoMTD,200,0,0.8641975308641975,6992.167399060865,0.7,100
NoMTD,200,0,0.8421052631578947,7655.716050883748,0.8,100
NoMTD,100,0,0.4166666666666667,683.8530686650394,0.1,25
NoMTD,100,0,0.5555555555555556,1383.8619530320648,0.2,25
NoMTD,100,0,0.625,1555.7455838110795,0.3,25
NoMTD,100,0,0.625,1994.483684291004,0.4,25
NoMTD,100,0,0.6944444444444444,2201.7870982421255,0.5,25
NoMTD,100,0,0.6818181818181818,2527.1569132482177,0.6,25
NoMTD,100,0,0.7291666666666666,2931.4778726517206,0.7,25
NoMTD,100,0,0.7407407407407407,3071.4947865978156,0.8,25
NoMTD,100,0,0.625,896.519138991398,0.1,50
NoMTD,100,0,0.7142857142857143,1643.2876384185058,0.2,50
NoMTD,100,0,0.7894736842105263,2319.202523596421,0.3,50
NoMTD,100,0,0.8,2798.656192033921,0.4,50
NoMTD,100,0,0.8333333333333334,3034.3751378725005,0.5,50
NoMTD,100,0,0.8571428571428571,3735.500746827882,0.6,50
NoMTD,100,0,0.875,4043.24539281709,0.7,50
NoMTD,100,0,0.8888888888888888,4567.906916246868,0.8,50
NoMTD,100,0,0.6818181818181818,1420.2938862148924,0.1,75
NoMTD,100,0,0.7142857142857143,2711.2680179213485,0.2,75
NoMTD,100,0,0.8035714285714286,3290.532424487079,0.3,75
NoMTD,100,0,0.8333333333333334,3764.290531663328,0.4,75
